year,American Indian,Asian/Pacific Islander,Black,Hispanic/Latino,Multiracial,White
1992,-35.8,-33.7,-13.100000000000001,-28.9,9.700000000000001,6.7
1996,-33.2,-6.9,0.8,-30.3,NA,4.3
2000,-33.300000000000004,-16.1,7.199999999999999,-29.099999999999998,NA,4.9
2004,-24.9,-29.4,9.6,-30.599999999999998,-11.4,5.6000000000000005
2008,-48.699999999999996,-9.1,22.400000000000002,-24.8,7.3999999999999995,1.5
2012,-32.800000000000004,-14.7,27.200000000000003,-22.400000000000002,-7.1,2.1999999999999997
2016,-53.6,-13.4,3.2,-19.1,-7.199999999999999,7.3
2020,-32.2,8.799999999999999,-5.3,-19.400000000000002,-12.3,8.6
2024,-44.1,1.3,-12.5,-25.7,-3.5000000000000004,14.099999999999998
1980,NA,NA,-21.6,-41.5,-24.4,6.5
1984,NA,NA,1.2,-31.3,-26.8,2.6
1988,NA,NA,-9.6,-28.000000000000004,-14.899999999999999,4.3999999999999995
