year,American Indian,Asian/Pacific Islander,Black,Hispanic/Latino,Multiracial,White
1990,-100,-100,34.5,-44.3,NA,12.8
1994,-100,-69.3,13.5,-39.2,12,22.1
1998,-100,-100,21.3,-42,NA,23.9
2002,112.1,-46.9,107.89999999999999,-21.7,NA,-14.7
2006,-100,-84.1,92.7,-15.5,90.8,-4.8
2014,218.9,-18.9,39.800000000000004,-38.4,-100,27.700000000000003
2018,259.4,-5.5,-14.899999999999999,-15,34.9,18.9
2022,-100,54.50000000000001,-7.3999999999999995,-20.8,-100,21.099999999999998
2010,NA,-19.900000000000002,56.699999999999996,-31.1,-100,14.7
1982,NA,NA,-4.6,-21.099999999999998,-57.199999999999996,7.6
1986,NA,NA,15.2,-12,-100,2.3
